,Dataset,Dataset Indices,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,Rotation,Flare,Ear (bin),Ear
22,HUTUBS,40,1.6988,0.9894,1.8469,2.0611,6.1612,3.0905,0.75,1.2,1.28,0.25,9.7232,21.9099,0.0,Left
198,HUTUBS,73,1.7793,0.7553,1.4627,2.0736,5.8605,2.9296,0.64,1.0,0.98,0.45,14.2337,20.8388,1.0,Right
296,SONICOM,103,1.46817,0.777277,1.7786,1.41411,5.3716,2.68198,0.6,0.75,0.9,0.24,10.202052047860166,21.024699719670775,1.0,Right
96,SONICOM,42,1.34616,0.931812,1.79279,1.96744,5.60771,2.86439,0.41,1.03,1.16,0.16,8.697514628330394,23.778645077298826,0.0,Left
156,HUTUBS,4,1.8577,1.0781,1.9799,2.329,6.0968,2.5056,0.58,1.24,1.2,0.35,6.9285,37.7374,1.0,Right
23,HUTUBS,41,1.689,0.852,1.7314,2.2904,5.5257,2.6749,0.47,1.07,1.15,0.25,7.636,12.7432,0.0,Left
9,HUTUBS,10,1.9566,1.2164,2.0735,2.0446,6.8827,3.185,0.78,1.38,1.2,0.4,15.9621,12.347,0.0,Left
128,SONICOM,81,1.6701,0.961524,1.7789,1.86575,6.30986,2.8691,0.36,1.26,1.23,0.36,13.15516297521889,19.495118774192736,0.0,Left
148,SONICOM,124,1.71006,0.928945,1.42517,1.59679,6.27407,2.91365,0.47,0.99,1.02,0.29,1.5704170855928379,33.50178726688473,0.0,Left
212,HUTUBS,95,1.8143,1.2127,1.9416,2.3219,6.0807,3.0358,0.67,1.25,1.35,0.24,8.3747,22.2037,1.0,Right
241,SONICOM,32,1.52402,0.623763,1.37562,1.78224,5.7593,2.45637,0.39,0.72,0.84,0.23,10.363284960412225,32.358301198049425,1.0,Right
154,HUTUBS,2,1.6887,0.7851,1.7066,2.1061,6.08,2.8941,0.6,1.05,1.23,0.39,12.6475,19.3225,1.0,Right
60,SONICOM,0,1.75787,0.8412,2.16518,1.38122,6.24926,3.21584,0.77,1.26,1.1,0.31,5.977643663248638,27.810839053463,0.0,Left
118,SONICOM,71,0.962221,0.906774,1.716,1.97636,6.21504,3.23848,0.43,0.79,0.83,0.31,11.724507497742954,23.56273278825527,0.0,Left
45,HUTUBS,73,1.7891,0.78,1.6286,2.1622,5.8689,2.8096,0.64,1.15,1.14,0.45,11.7775,22.3933,0.0,Left
6,HUTUBS,7,1.8705,1.1934,1.45,2.0739,6.55,2.8944,0.82,1.29,1.33,0.33,9.6536,23.4961,0.0,Left
284,SONICOM,86,1.65421,0.713739,1.644,1.76988,6.51695,2.953,0.78,1.11,1.1,0.22,7.5386739206343005,27.235282891661118,1.0,Right
140,SONICOM,100,1.53837,0.652406,1.50746,1.47347,6.01014,2.918,0.56,0.78,0.91,0.54,7.960702008608077,31.832070072632938,0.0,Left
215,SONICOM,2,1.5622,0.929187,1.43207,1.71747,6.47703,3.05309,0.74,1.46,1.27,0.31,15.342005957038133,40.300760670865785,1.0,Right
275,SONICOM,75,1.94041,0.833589,1.59741,1.59064,6.50254,3.17948,0.79,1.49,0.95,0.22,1.3565985154860631,32.010425179977304,1.0,Right
111,SONICOM,62,1.50322,1.11394,1.60577,1.37829,6.24346,3.08614,0.76,1.21,1.29,0.24,6.8571541959323525,31.02977695344185,0.0,Left
26,HUTUBS,46,1.7919,1.0866,1.2838,1.7669,5.6593,2.7316,0.43,0.93,0.99,0.24,4.2059,39.5613,0.0,Left
213,SONICOM,0,1.64423,1.09207,2.07804,1.22508,6.2853,3.24768,0.77,1.25,1.29,0.38,10.837784036767582,22.038099899978825,1.0,Right
27,HUTUBS,47,1.8503,0.9873,2.1566,2.602,6.8276,3.4548,0.71,1.22,1.12,0.3,16.5444,22.8893,0.0,Left
288,SONICOM,92,1.80451,0.917665,1.55739,2.02762,6.39965,2.83043,0.65,1.16,1.23,0.37,4.802760604313574,38.46283172691384,1.0,Right
104,SONICOM,53,1.50288,0.680927,1.756,1.71021,6.0439,2.764,0.66,0.88,0.96,0.18,2.9529042058796766,31.974307158413954,0.0,Left
130,SONICOM,83,1.46047,0.766088,1.44542,1.81245,6.47855,2.67175,0.46,0.92,1.17,0.25,7.1897558587752695,24.73452746524032,0.0,Left
242,SONICOM,34,1.50624,1.14574,1.50327,2.38289,6.61688,2.87335,0.72,1.37,1.32,0.28,7.669371148225134,24.039187073261964,1.0,Right
115,SONICOM,66,1.56926,0.9712,1.27809,1.30909,4.92974,2.208,0.34,0.82,1.09,0.19,8.397296805943807,63.38278650944247,0.0,Left
21,HUTUBS,33,2.1963,1.3589,1.6733,2.2258,6.2931,2.6529,0.98,1.37,1.42,0.37,9.6065,38.3482,0.0,Left
33,HUTUBS,59,1.9496,1.1203,1.5515,1.8002,6.1548,2.8747,0.79,1.13,1.28,0.33,7.5543,26.7089,0.0,Left
144,SONICOM,104,1.83923,0.9591,1.83103,1.94053,6.12153,2.91223,0.65,0.93,1.24,0.22,13.055231919802855,24.51255633537461,0.0,Left
255,SONICOM,48,1.46773,0.935773,1.84462,1.73545,6.62166,3.13828,0.67,1.23,1.17,0.34,7.734057156987664,30.63982428944694,1.0,Right
41,HUTUBS,69,1.7968,0.9256,1.7697,2.2631,6.4997,3.1547,0.59,1.24,1.27,0.28,3.4553,37.6615,0.0,Left
263,SONICOM,61,1.38199,0.896339,1.70433,1.4142,5.89398,2.8232,0.49,1.07,1.07,0.28,8.872888973973918,21.884871418158504,1.0,Right
250,SONICOM,43,1.31847,0.779164,1.83451,1.74271,5.65993,2.75513,0.44,0.85,0.42,0.22,1.0782229095970295,20.347455129193502,1.0,Right
40,HUTUBS,68,1.9948,1.0126,1.8452,2.5099,6.833,3.1096,0.66,1.44,1.47,0.31,5.7582,24.4418,0.0,Left
159,HUTUBS,7,1.9439,1.2172,1.5209,2.1661,6.5567,3.003,0.79,1.33,1.23,0.33,13.5028,14.0968,1.0,Right
207,HUTUBS,89,1.7916,0.9864,1.5099,2.0011,6.1537,3.0345,0.74,1.3,1.2,0.3,8.4369,26.9951,1.0,Right
251,SONICOM,44,1.5774,0.871434,1.55935,0.800143,5.79444,2.78253,0.47,0.94,1.11,0.37,8.309461753196594,30.265303867223928,1.0,Right
301,SONICOM,124,1.56856,0.996342,1.49675,1.91804,6.28073,3.09678,0.63,0.78,0.78,0.34,4.203254460196242,29.252078369939262,1.0,Right
117,SONICOM,70,1.68712,0.970607,2.18438,1.9672,6.73774,3.87279,0.67,1.27,1.3,0.37,3.075904849460697,25.879144960949905,0.0,Left
261,SONICOM,58,1.62102,0.570286,1.47773,1.33786,6.42602,3.08079,0.4,1.11,1.07,0.21,11.124377716363037,31.183359524397872,1.0,Right
177,HUTUBS,44,1.7812,1.0746,1.9438,2.2046,6.048,3.1908,0.84,1.26,1.26,0.24,12.0319,18.3209,1.0,Right
262,SONICOM,59,1.45754,0.9634,1.60398,1.81661,5.74383,3.02051,0.32,0.7,0.8,0.19,10.002402483440049,25.830953519725913,1.0,Right
291,SONICOM,97,1.7055,0.839932,1.71953,2.02256,5.8864,2.81168,0.61,1.39,1.43,0.37,8.348722419602739,22.23572550782679,1.0,Right
8,HUTUBS,9,1.7511,0.9601,2.0294,1.8276,5.7899,2.7984,0.7,1.2,1.1,0.27,16.0167,24.1723,0.0,Left
282,SONICOM,82,1.55371,0.790713,1.45217,1.79947,5.40305,2.79872,0.68,0.93,0.95,0.21,10.174854551239276,49.60132874168662,1.0,Right
234,SONICOM,24,1.7983,0.835901,1.6354,1.91728,6.75432,2.80697,0.49,1.02,1.01,0.29,11.641483502295872,32.06133988060475,1.0,Right
125,SONICOM,78,2.02635,0.895087,1.72913,1.52009,6.37408,3.16098,0.65,1.09,0.94,0.31,6.89493011546466,29.12337717570656,0.0,Left
102,SONICOM,48,1.38412,1.09184,2.0783,2.09343,6.78309,3.09162,0.66,1.36,1.2,0.31,9.753912448485629,26.929007560928458,0.0,Left
152,SONICOM,196,1.44929,0.844443,1.63221,0.621509,5.1459,2.82438,0.35,0.95,0.93,0.9,9.533992688378468,32.696798327264524,0.0,Left
175,HUTUBS,40,1.8022,0.9893,1.7902,2.1123,6.0864,2.7145,0.75,1.17,1.24,0.25,9.0404,19.9811,1.0,Right
135,SONICOM,92,1.635,0.863003,1.53277,1.84915,6.1013,2.94254,0.6,1.54,1.33,0.35,6.854789014365937,38.861230676810834,0.0,Left
169,HUTUBS,23,1.8096,1.1181,1.8159,2.235,6.327,3.2584,0.4,1.13,1.3,0.24,9.983,12.8443,1.0,Right
247,SONICOM,39,1.8627,0.798636,1.72226,2.60856,6.19986,2.94065,0.43,0.99,0.97,0.27,8.403304629677354,24.697068759057437,1.0,Right
283,SONICOM,83,1.63248,0.597137,1.4448,1.97065,6.12649,2.71839,0.45,1.12,0.82,0.21,7.3803483265817995,25.752310760832927,1.0,Right
221,SONICOM,9,1.85041,0.829077,1.66484,2.1477,6.13164,3.18665,0.64,1.16,1.12,0.28,16.970529793486556,33.1972255267769,1.0,Right
99,SONICOM,45,1.74205,0.840955,1.46203,2.12494,6.50979,2.88653,0.53,1.26,1.14,0.33,5.953192911129038,31.168638469555862,0.0,Left
65,SONICOM,5,1.511208,0.861107,1.27073,1.74723,5.91259,2.55186,0.49,0.98,1.18,0.2,9.101471254403414,37.22715410375516,0.0,Left
267,SONICOM,65,1.4559,0.995109,1.84122,1.54422,6.08102,2.72615,0.57,1.23,1.13,0.3,4.137259559417351,21.166805070848174,1.0,Right
218,SONICOM,5,1.27922,0.846561,1.39386,1.45816,5.62636,2.68499,0.76,0.98,1.08,0.21,6.565402495349268,25.686896485130067,1.0,Right
122,SONICOM,75,1.75603,0.823069,1.55206,1.33541,6.56415,2.8769,0.64,1.38,1.05,0.33,4.128328906978734,41.846766125007875,0.0,Left
5,HUTUBS,6,1.5436,1.0189,1.8798,2.0981,5.8977,2.8456,0.58,1.19,1.18,0.34,23.8598,20.737,0.0,Left
200,HUTUBS,76,1.6817,0.9299,1.9026,1.9496,6.0763,2.9938,0.56,1.04,1.14,0.42,16.9005,29.6004,1.0,Right
239,SONICOM,30,1.60928,0.847108,1.79223,1.43059,5.32691,3.14509,0.47,0.88,0.82,0.3,14.485309795600955,20.794442401939524,1.0,Right
298,SONICOM,105,1.76587,0.983763,1.67984,1.74609,6.37099,3.0495,0.57,0.92,1.03,0.34,8.721317068682117,22.541100339567038,1.0,Right
248,SONICOM,40,1.47935,0.916149,2.19784,1.55995,5.62294,3.14294,0.63,0.97,0.97,0.29,8.711232148718759,21.804627204305813,1.0,Right
126,SONICOM,79,1.882,1.16551,1.7589,2.14971,6.86136,3.12623,0.78,1.13,1.24,0.26,9.556536453147263,20.14613160920993,0.0,Left
83,SONICOM,26,1.6884,0.927257,1.64323,1.55413,5.90876,2.71771,0.51,1.11,1.09,0.27,0.7474946628494823,18.15727134591769,0.0,Left
302,SONICOM,172,1.39548,0.88223,1.70717,1.60525,5.51953,2.92887,0.55,0.76,0.88,0.53,2.417277943420524,21.28790775980839,1.0,Right
87,SONICOM,31,1.59362,0.976411,1.37537,1.71393,6.27861,3.05929,0.67,1.22,1.22,0.38,6.914592044364415,37.832850664075124,0.0,Left
101,SONICOM,47,1.684,0.903017,1.76748,1.20623,5.738,2.73066,0.5,1.07,1.09,0.31,9.331366635669285,25.458878379803238,0.0,Left
